Mat 1:1  βίβλος@nnfsc γένεσις@ngfsc Ἰησοῦς@ngmsp Χριστός@ngmsp υἱός@ngmsc Δαυίδ@ngmsp υἱός@ngmsc Ἀβραάμ@ngmsp 
Mat 13:34  οὗτος@rdanp πᾶς@aianpn λαλέω@viaa3s ὁ@dnms Ἰησοῦς@nnmsp ἐν@pd παραβολή@ndfpc ὁ@ddmp ὄχλος@ndmpc καί@cc χωρίς@pg παραβολή@ngfsc οὐδείς@rians λαλέω@viia3s αὐτός@rpdmp 
Mat 13:35  ὅπως@cs πληρόω@vsap3s ὁ@dnns λέγω@vpapnns διά@pg ὁ@dgms προφήτης@ngmsc λέγω@vppagms ἀνοίγω@vifa1s ἐν@pd παραβολή@ndfpc ὁ@dans στόμα@nansc ἐγώ@rpg-s ἐρεύγομαι@vifm1s κρύπτω@vpxpanp ἀπό@pg καταβολή@ngfsc κόσμος@ngmsc 
Mat 13:36  τότε@b ἀφίημι@vpaanms ὁ@damp ὄχλος@nampc ἔρχομαι@viaa3s εἰς@pa ὁ@dafs οἰκία@nafsc καί@cc προσέρχομαι@viaa3p αὐτός@rpdms ὁ@dnmp μαθητής@nnmpc αὐτός@rpgms λέγω@vppanmp διασαφέω@vdaa2s ἐγώ@rpd-p ὁ@dafs παραβολή@nafsc ὁ@dgnp ζιζάνιον@ngnpc ὁ@dgms ἀγρός@ngmsc 
Mat 13:37  ὁ@dnms δέ@cc ἀποκρίνομαι@vpapnms λέγω@viaa3s ὁ@dnms σπείρω@vppanms ὁ@dans καλός@anansn σπέρμα@nansc εἰμί@vipa3s ὁ@dnms υἱός@nnmsc ὁ@dgms ἄνθρωπος@ngmsc 
Mat 13:38  ὁ@dnms δέ@cc ἀγρός@nnmsc εἰμί@vipa3s ὁ@dnms κόσμος@nnmsc ὁ@dnns δέ@cc καλός@annnsn σπέρμα@nnnsc οὗτος@rdnmp εἰμί@vipa3p ὁ@dnmp υἱός@nnmpc ὁ@dgfs βασιλεία@ngfsc ὁ@dnnp δέ@cc ζιζάνιον@nnnpc εἰμί@vipa3p ὁ@dnmp υἱός@nnmpc ὁ@dgms πονηρός@angmsn 
Mat 13:39  ὁ@dnms δέ@cc ἐχθρός@annmsn ὁ@dnms σπείρω@vpaanms αὐτός@rpanp εἰμί@vipa3s ὁ@dnms διάβολος@nnmsc ὁ@dnms δέ@cc θερισμός@nnmsc συντέλεια@nnfsc αἰών@ngmsc εἰμί@vipa3s ὁ@dnmp δέ@cc θεριστής@nnmpc ἄγγελος@nnmpc εἰμί@vipa3p 
Mat 13:40  ὥσπερ@cs οὖν@cc συλλέγω@vipp3s ὁ@dnnp ζιζάνιον@nnnpc καί@cc πῦρ@ndnsc κατακαίω@vipp3s οὕτως@b εἰμί@vifm3s ἐν@pd ὁ@ddfs συντέλεια@ndfsc ὁ@dgms αἰών@ngmsc 
Mat 13:41  ἀποστέλλω@vifa3s ὁ@dnms υἱός@nnmsc ὁ@dgms ἄνθρωπος@ngmsc ὁ@damp ἄγγελος@nampc αὐτός@rpgms καί@cc συλλέγω@vifa3p ἐκ@pg ὁ@dgfs βασιλεία@ngfsc αὐτός@rpgms πᾶς@aianpn ὁ@danp σκάνδαλον@nanpc καί@cc ὁ@damp ποιέω@vppaamp ὁ@dafs ἀνομία@nafsc 
Mat 13:42  καί@cc βάλλω@vifa3p αὐτός@rpamp εἰς@pa ὁ@dafs κάμινος@nafsc ὁ@dgns πῦρ@ngnsc ἐκεῖ@b εἰμί@vifm3s ὁ@dnms κλαυθμός@nnmsc καί@cc ὁ@dnms βρυγμός@nnmsc ὁ@dgmp ὀδούς@ngmpc 
Mat 13:43  τότε@b ὁ@dnmp δίκαιος@annmpn ἐκλάμπω@vifa3p ὡς@cs ὁ@dnms ἥλιος@nnmsc ἐν@pd ὁ@ddfs βασιλεία@ndfsc ὁ@dgms πατήρ@ngmsc αὐτός@rpgmp ὁ@dnms ἔχω@vppanms οὖς@nanpc ἀκούω@vdpa3s 
Mat 13:44  ὅμοιος@annfsn εἰμί@vipa3s ὁ@dnfs βασιλεία@nnfsc ὁ@dgmp οὐρανός@ngmpc θησαυρός@ndmsc κρύπτω@vpxpdms ἐν@pd ὁ@ddms ἀγρός@ndmsc ὅς@rrams εὑρίσκω@vpaanms ἄνθρωπος@nnmsc κρύπτω@viaa3s καί@cc ἀπό@pg ὁ@dgfs χαρά@ngfsc αὐτός@rpgms ὑπάγω@vipa3s καί@cc πωλέω@vipa3s πᾶς@aianpn ὅσος@rranp ἔχω@vipa3s καί@cc ἀγοράζω@vipa3s ὁ@dams ἀγρός@namsc ἐκεῖνος@rdams 
Mat 13:45  πάλιν@b ὅμοιος@annfsn εἰμί@vipa3s ὁ@dnfs βασιλεία@nnfsc ὁ@dgmp οὐρανός@ngmpc ἄνθρωπος@ndmsc ἔμπορος@ndmsc ζητέω@vppadms καλός@anampn μαργαρίτης@nampc 
Mat 13:46  εὑρίσκω@vpaanms δέ@cc εἷς@acamsn πολύτιμος@anamsn μαργαρίτης@namsc ἀπέρχομαι@vpaanms πιπράσκω@vixa3s πᾶς@aianpn ὅσος@rranp ἔχω@viia3s καί@cc ἀγοράζω@viaa3s αὐτός@rpams 
Mat 13:47  πάλιν@b ὅμοιος@annfsn εἰμί@vipa3s ὁ@dnfs βασιλεία@nnfsc ὁ@dgmp οὐρανός@ngmpc σαγήνη@ndfsc βάλλω@vpapdfs εἰς@pa ὁ@dafs θάλασσα@nafsc καί@cc ἐκ@pg πᾶς@aignsn γένος@ngnsc συνάγω@vpaadfs 
Mat 13:48  ὅς@rrafs ὅτε@cs πληρόω@viap3s ἀναβιβάζω@vpaanmp ἐπί@pa ὁ@dams αἰγιαλός@namsc καί@cc καθίζω@vpaanmp συλλέγω@viaa3p ὁ@danp καλός@ananpn εἰς@pa ἄγγος@nanpc ὁ@danp δέ@cc σαπρός@ananpn ἔξω@b βάλλω@viaa3p 
Mat 13:49  οὕτως@b εἰμί@vifm3s ἐν@pd ὁ@ddfs συντέλεια@ndfsc ὁ@dgms αἰών@ngmsc ἐξέρχομαι@vifm3p ὁ@dnmp ἄγγελος@nnmpc καί@cc ἀφορίζω@vifa3p ὁ@damp πονηρός@anampn ἐκ@pg μέσος@angnsn ὁ@dgmp δίκαιος@angmpn 
Mat 13:50  καί@cc βάλλω@vifa3p αὐτός@rpamp εἰς@pa ὁ@dafs κάμινος@nafsc ὁ@dgns πῦρ@ngnsc ἐκεῖ@b εἰμί@vifm3s ὁ@dnms κλαυθμός@nnmsc καί@cc ὁ@dnms βρυγμός@nnmsc ὁ@dgmp ὀδούς@ngmpc 
Mat 13:51  συνίημι@viaa2p οὗτος@rdanp πᾶς@aianpn λέγω@vipa3p αὐτός@rpdms ναί@x 
Mat 13:52  ὁ@dnms δέ@cc λέγω@viaa3s αὐτός@rpdmp διά@pa οὗτος@rdans πᾶς@ainmsn γραμματεύς@nnmsc μαθητεύω@vpapnms ὁ@ddfs βασιλεία@ndfsc ὁ@dgmp οὐρανός@ngmpc ὅμοιος@annmsn εἰμί@vipa3s ἄνθρωπος@ndmsc οἰκοδεσπότης@ndmsc ὅστις@rrnms ἐκβάλλω@vipa3s ἐκ@pg ὁ@dgms θησαυρός@ngmsc αὐτός@rpgms καινός@ananpn καί@cc παλαιός@ananpn 
Mat 13:53  καί@cc γίνομαι@viam3s ὅτε@cs τελέω@viaa3s ὁ@dnms Ἰησοῦς@nnmsp ὁ@dafp παραβολή@nafpc οὗτος@rdafp μεταίρω@viaa3s ἐκεῖθεν@b 
Mat 13:54  καί@cc ἔρχομαι@vpaanms εἰς@pa ὁ@dafs πατρίς@nafsc αὐτός@rpgms διδάσκω@viia3s αὐτός@rpamp ἐν@pd ὁ@ddfs συναγωγή@ndfsc αὐτός@rpgmp ὥστε@cs ἐκπλήσσω@vnpp αὐτός@rpamp καί@cc λέγω@vnpa πόθεν@b οὗτος@rddms ὁ@dnfs σοφία@nnfsc οὗτος@rdnfs καί@cc ὁ@dnfp δύναμις@nnfpc 
Mat 13:55  οὐ@b οὗτος@rdnms εἰμί@vipa3s ὁ@dnms ὁ@dgms τέκτων@ngmsc υἱός@nnmsc οὐ@b ὁ@dnfs μήτηρ@nnfsc αὐτός@rpgms λέγω@vipp3s Μαρία@nnfsp καί@cc ὁ@dnmp ἀδελφός@nnmpc αὐτός@rpgms Ἰάκωβος@nnmsp καί@cc Ἰωσήφ@nnmsp καί@cc Σίμων@nnmsp καί@cc Ἰούδας@nnmsp 
Mat 13:56  καί@cc ὁ@dnfp ἀδελφή@nnfpc αὐτός@rpgms οὐχί@b πᾶς@ainfpn πρός@pa ἐγώ@rpa-p εἰμί@vipa3p πόθεν@b οὖν@cc οὗτος@rddms οὗτος@rdnnp πᾶς@ainnpn 
Mat 13:57  καί@cc σκανδαλίζω@viip3p ἐν@pd αὐτός@rpdms ὁ@dnms δέ@cc Ἰησοῦς@nnmsp λέγω@viaa3s αὐτός@rpdmp οὐ@b εἰμί@vipa3s προφήτης@nnmsc ἄτιμος@annmsn εἰ@cs μή@x ἐν@pd ὁ@ddfs πατρίς@ndfsc καί@cc ἐν@pd ὁ@ddfs οἰκία@ndfsc αὐτός@rpgms 
Mat 13:58  καί@cc οὐ@b ποιέω@viaa3s ἐκεῖ@b δύναμις@nafpc πολύς@anafpn διά@pa ὁ@dafs ἀπιστία@nafsc αὐτός@rpgmp 
Mat 14:1  ἐν@pd ἐκεῖνος@rddms ὁ@ddms καιρός@ndmsc ἀκούω@viaa3s Ἡρῴδης@nnmsp ὁ@dnms τετραάρχης@nnmsc ὁ@dafs ἀκοή@nafsc Ἰησοῦς@ngmsp 
Mat 14:2  καί@cc λέγω@viaa3s ὁ@ddmp παῖς@ndmpc αὐτός@rpgms οὗτος@rdnms εἰμί@vipa3s Ἰωάννης@nnmsp ὁ@dnms βαπτιστής@nnmsc αὐτός@rtnms ἐγείρω@viap3s ἀπό@pg ὁ@dgmp νεκρός@angmpn καί@cc διά@pa οὗτος@rdans ὁ@dnfp δύναμις@nnfpc ἐνεργέω@vipa3p ἐν@pd αὐτός@rpdms 
Mat 14:3  ὁ@dnms γάρ@cc Ἡρῴδης@nnmsp κρατέω@vpaanms ὁ@dams Ἰωάννης@namsp δέω@viaa3s αὐτός@rpams καί@cc ἐν@pd φυλακή@ndfsc ἀποτίθημι@viam3s διά@pa Ἡρῳδιάς@nafsp ὁ@dafs γυνή@nafsc Φίλιππος@ngmsp ὁ@dgms ἀδελφός@ngmsc αὐτός@rpgms 
Mat 14:4  λέγω@viia3s γάρ@cc ὁ@dnms Ἰωάννης@nnmsp αὐτός@rpdms οὐ@b ἔξειμι@vipa3s σύ@rpd-s ἔχω@vnpa αὐτός@rpafs 
Mat 14:5  καί@cc θέλω@vppanms αὐτός@rpams ἀποκτείνω@vnaa φοβέω@viap3s ὁ@dams ὄχλος@namsc ὅτι@cs ὡς@cs προφήτης@namsc αὐτός@rpams ἔχω@viia3p 
Mat 14:6  γενέσια@ndnpc δέ@cc γίνομαι@vpamdnp ὁ@dgms Ἡρῴδης@ngmsp ὀρχέομαι@viam3s ὁ@dnfs θυγάτηρ@nnfsc ὁ@dgfs Ἡρῳδιάς@ngfsp ἐν@pd ὁ@ddns μέσος@andnsn καί@cc ἀρέσκω@viaa3s ὁ@ddms Ἡρῴδης@ndmsp 
Mat 14:7  ὅθεν@b μετά@pg ὅρκος@ngmsc ὁμολογέω@viaa3s αὐτός@rpdfs δίδωμι@vnaa ὅς@rrans ἐάν@x αἰτέω@vsam3s 
Mat 14:8  ὁ@dnfs δέ@cc προβιβάζω@vpapnfs ὑπό@pg ὁ@dgfs μήτηρ@ngfsc αὐτός@rpgfs δίδωμι@vdaa2s ἐγώ@rpd-s φημί@vipa3s ὧδε@b ἐπί@pd πίναξ@ndmsc ὁ@dafs κεφαλή@nafsc Ἰωάννης@ngmsp ὁ@dgms βαπτιστής@ngmsc 
Mat 14:9  καί@cc λυπέω@vpapnms ὁ@dnms βασιλεύς@nnmsc διά@pa ὁ@damp ὅρκος@nampc καί@cc ὁ@damp συνανάκειμαι@vppmamp κελεύω@viaa3s δίδωμι@vnap 
Mat 14:10  καί@cc πέμπω@vpaanms ἀποκεφαλίζω@viaa3s ὁ@dams Ἰωάννης@namsp ἐν@pd ὁ@ddfs φυλακή@ndfsc 
Mat 14:11  καί@cc φέρω@viap3s ὁ@dnfs κεφαλή@nnfsc αὐτός@rpgms ἐπί@pd πίναξ@ndmsc καί@cc δίδωμι@viap3s ὁ@ddns κοράσιον@ndnsc καί@cc φέρω@viaa3s ὁ@ddfs μήτηρ@ndfsc αὐτός@rpgfs 
Mat 14:12  καί@cc προσέρχομαι@vpaanmp ὁ@dnmp μαθητής@nnmpc αὐτός@rpgms αἴρω@viaa3p ὁ@dans πτῶμα@nansc καί@cc θάπτω@viaa3p αὐτός@rpams/rpans καί@cc ἔρχομαι@vpaanmp ἀπαγγέλλω@viaa3p ὁ@ddms Ἰησοῦς@ndmsp 
Mat 14:13  ἀκούω@vpaanms δέ@cc ὁ@dnms Ἰησοῦς@nnmsp ἀναχωρέω@viaa3s ἐκεῖθεν@b ἐν@pd πλοῖον@ndnsc εἰς@pa ἔρημος@anamsn τόπος@namsc κατά@pa ἴδιος@anafsn καί@cc ἀκούω@vpaanmp ὁ@dnmp ὄχλος@nnmpc ἀκολουθέω@viaa3p αὐτός@rpdms πεζῇ@b ἀπό@pg ὁ@dgfp πόλις@ngfpc 
Mat 14:14  καί@cc ἐξέρχομαι@vpaanms ὁράω@viaa3s πολύς@anamsn ὄχλος@namsc καί@cc σπλαγχνίζομαι@viap3s ἐπί@pd αὐτός@rpdmp καί@cc θεραπεύω@viaa3s ὁ@damp ἄρρωστος@anampn αὐτός@rpgmp 
Mat 14:15  ὀψία@ngfsc δέ@cc γίνομαι@vpamgfs προσέρχομαι@viaa3p αὐτός@rpdms ὁ@dnmp μαθητής@nnmpc λέγω@vppanmp ἔρημος@annmsn εἰμί@vipa3s ὁ@dnms τόπος@nnmsc καί@cc ὁ@dnfs ὥρα@nnfsc ἤδη@b παρέρχομαι@viaa3s ἀπολύω@vdaa2s ὁ@damp ὄχλος@nampc ἵνα@cs ἀπέρχομαι@vpaanmp εἰς@pa ὁ@dafp κώμη@nafpc ἀγοράζω@vsaa3p ἑαυτοῦ@rxdmp βρῶμα@nanpc 
Mat 14:16  ὁ@dnms δέ@cc Ἰησοῦς@nnmsp λέγω@viaa3s αὐτός@rpdmp οὐ@b χρεία@nafsc ἔχω@vipa3p ἀπέρχομαι@vnaa δίδωμι@vdaa2p αὐτός@rpdmp σύ@rpn-p ἐσθίω@vnaa 
Mat 14:17  ὁ@dnmp δέ@cc λέγω@vipa3p αὐτός@rpdms οὐ@b ἔχω@vipa1p ὧδε@b εἰ@cs μή@x πέντε@ac---n ἄρτος@nampc καί@cc δύο@acampn ἰχθύς@nampc 
Mat 14:18  ὁ@dnms δέ@cc λέγω@viaa3s φέρω@vdpa2p ἐγώ@rpd-s ὧδε@b αὐτός@rpamp 
Mat 14:19  καί@cc κελεύω@vpaanms ὁ@damp ὄχλος@nampc ἀνακλίνω@vnap ἐπί@pg ὁ@dgms χόρτος@ngmsc λαμβάνω@vpaanms ὁ@damp πέντε@ac---n ἄρτος@nampc καί@cc ὁ@damp δύο@acampn ἰχθύς@nampc ἀναβλέπω@vpaanms εἰς@pa ὁ@dams οὐρανός@namsc εὐλογέω@viaa3s καί@cc κλάω@vpaanms δίδωμι@viaa3s ὁ@ddmp μαθητής@ndmpc ὁ@damp ἄρτος@nampc ὁ@dnmp δέ@cc μαθητής@nnmpc ὁ@ddmp ὄχλος@ndmpc 
Mat 14:20  καί@cc ἐσθίω@viaa3p πᾶς@ainmpn καί@cc χορτάζω@viap3p καί@cc αἴρω@viaa3p ὁ@dans περισσεύω@vppaans ὁ@dgnp κλάσμα@ngnpc δώδεκα@ac---n κόφινος@nampc πλήρης@anampn 
Mat 14:21  ὁ@dnmp δέ@cc ἐσθίω@vppanmp εἰμί@viia3p ἀνήρ@nnmpc ὡσεί@b πεντακισχίλιοι@acnmpn χωρίς@pg γυνή@ngfpc καί@cc παιδίον@ngnpc 
Mat 14:22  καί@cc εὐθέως@b ἀναγκάζω@viaa3s ὁ@damp μαθητής@nampc ἐμβαίνω@vnaa εἰς@pa ὁ@dans πλοῖον@nansc καί@cc προάγω@vnpa αὐτός@rpams εἰς@pa ὁ@dans πέραν@b ἕως@pg ὅς@rrgns ἀπολύω@vsaa3s ὁ@damp ὄχλος@nampc 
Mat 14:23  καί@cc ἀπολύω@vpaanms ὁ@damp ὄχλος@nampc ἀναβαίνω@viaa3s εἰς@pa ὁ@dans ὄρος@nansc κατά@pa ἴδιος@anafsn προσεύχομαι@vnam ὀψία@ngfsc δέ@cc γίνομαι@vpamgfs μόνος@annmsn εἰμί@viia3s ἐκεῖ@b 
Mat 14:24  ὁ@dnns δέ@cc πλοῖον@nnnsc ἤδη@b στάδιος@nampc πολύς@anampn ἀπό@pg ὁ@dgfs γῆ@ngfsc ἀπέχω@viia3s βασανίζω@vpppnns ὑπό@pg ὁ@dgnp κῦμα@ngnpc εἰμί@viia3s γάρ@cc ἐναντίος@annmsn ὁ@dnms ἄνεμος@nnmsc 
Mat 14:25  τέταρτος@aodfsn δέ@cc φυλακή@ndfsc ὁ@dgfs νύξ@ngfsc ἔρχομαι@viaa3s πρός@pa αὐτός@rpamp περιπατέω@vppanms ἐπί@pa ὁ@dafs θάλασσα@nafsc 
Mat 14:26  ὁ@dnmp δέ@cc μαθητής@nnmpc ὁράω@vpaanmp αὐτός@rpams ἐπί@pg ὁ@dgfs θάλασσα@ngfsc περιπατέω@vppaams ταράσσω@viap3p λέγω@vppanmp ὅτι@cs φάντασμα@nnnsc εἰμί@vipa3s καί@cc ἀπό@pg ὁ@dgms φόβος@ngmsc κράζω@viaa3p 
Mat 14:27  εὐθύς@b δέ@cc λαλέω@viaa3s ὁ@dnms Ἰησοῦς@nnmsp αὐτός@rpdmp λέγω@vppanms θαρσέω@vdpa2p ἐγώ@rpn-s εἰμί@vipa1s μή@x φοβέω@vdpm2p 
Mat 14:28  ἀποκρίνομαι@vpapnms δέ@cc αὐτός@rpdms ὁ@dnms Πέτρος@nnmsp λέγω@viaa3s κύριος@nvmsc εἰ@cs σύ@rpn-s εἰμί@vipa2s κελεύω@vdaa2s ἐγώ@rpa-s ἔρχομαι@vnaa πρός@pa σύ@rpa-s ἐπί@pa ὁ@danp ὕδωρ@nanpc 
Mat 14:29  ὁ@dnms δέ@cc λέγω@viaa3s ἔρχομαι@vdaa2s καί@cc καταβαίνω@vpaanms ἀπό@pg ὁ@dgns πλοῖον@ngnsc ὁ@dnms Πέτρος@nnmsp περιπατέω@viaa3s ἐπί@pa ὁ@danp ὕδωρ@nanpc καί@cc ἔρχομαι@viaa3s πρός@pa ὁ@dams Ἰησοῦς@namsp 
Mat 14:30  βλέπω@vppanms δέ@cc ὁ@dams ἄνεμος@namsc ἰσχυρός@anamsn φοβέω@viap3s καί@cc ἄρχω@vpamnms καταποντίζω@vnpp κράζω@viaa3s λέγω@vppanms κύριος@nvmsc σῴζω@vdaa2s ἐγώ@rpa-s 
Mat 14:31  εὐθέως@b δέ@cc ὁ@dnms Ἰησοῦς@nnmsp ἐκτείνω@vpaanms ὁ@dafs χείρ@nafsc ἐπιλαμβάνω@viam3s αὐτός@rpgms καί@cc λέγω@vipa3s αὐτός@rpdms ὀλιγόπιστος@anvmsn εἰς@pa τίς@rqans διστάζω@viaa2s 
Mat 14:32  καί@cc ἀναβαίνω@vpaagmp αὐτός@rpgmp εἰς@pa ὁ@dans πλοῖον@nansc κοπάζω@viaa3s ὁ@dnms ἄνεμος@nnmsc 
Mat 14:33  ὁ@dnmp δέ@cc ἐν@pd ὁ@ddns πλοῖον@ndnsc προσκυνέω@viaa3p αὐτός@rpdms λέγω@vppanmp ἀληθῶς@b θεός@ngmsc υἱός@nnmsc εἰμί@vipa2s 
Mat 14:34  καί@cc διαπεράω@vpaanmp ἔρχομαι@viaa3p ἐπί@pa ὁ@dafs γῆ@nafsc εἰς@pa Γεννησαρέτ@nafsp 
Mat 14:35  καί@cc ἐπιγινώσκω@vpaanmp αὐτός@rpams ὁ@dnmp ἀνήρ@nnmpc ὁ@dgms τόπος@ngmsc ἐκεῖνος@rdgms ἀποστέλλω@viaa3p εἰς@pa ὅλος@anafsn ὁ@dafs περίχωρος@anafsn ἐκεῖνος@rdafs καί@cc προσφέρω@viaa3p αὐτός@rpdms πᾶς@aiampn ὁ@damp κακῶς@b ἔχω@vppaamp 
Mat 14:36  καί@cc παρακαλέω@viia3p αὐτός@rpams ἵνα@cs μόνος@b ἅπτω@vsam3p ὁ@dgns κράσπεδον@ngnsc ὁ@dgns ἱμάτιον@ngnsc αὐτός@rpgms καί@cc ὅσος@rrnmp ἅπτω@viam3p διασῴζω@viap3p 
Mat 15:1  τότε@b προσέρχομαι@vipm3p ὁ@ddms Ἰησοῦς@ndmsp ἀπό@pg Ἱεροσόλυμα@ngnpp Φαρισαῖος@nnmpp καί@cc γραμματεύς@nnmpc λέγω@vppanmp 
Mat 15:2  διά@pa τίς@rqans ὁ@dnmp μαθητής@nnmpc σύ@rpg-s παραβαίνω@vipa3p ὁ@dafs παράδοσις@nafsc ὁ@dgmp πρεσβύτερος@angmpc οὐ@b γάρ@cc νίπτω@vipm3p ὁ@dafp χείρ@nafpc αὐτός@rpgmp ὅταν@cs ἄρτος@namsc ἐσθίω@vspa3p 
Mat 15:3  ὁ@dnms δέ@cc ἀποκρίνομαι@vpapnms λέγω@viaa3s αὐτός@rpdmp διά@pa τίς@rqans καί@b σύ@rpn-p παραβαίνω@vipa2p ὁ@dafs ἐντολή@nafsc ὁ@dgms θεός@ngmsc διά@pa ὁ@dafs παράδοσις@nafsc σύ@rpg-p 
Mat 15:4  ὁ@dnms γάρ@cc θεός@nnmsc λέγω@viaa3s τιμάω@vdpa2s ὁ@dams πατήρ@namsc καί@cc ὁ@dafs μήτηρ@nafsc καί@cc ὁ@dnms κακολογέω@vppanms πατήρ@namsc ἤ@cc μήτηρ@nafsc θάνατος@ndmsc τελευτάω@vdpa3s 
Mat 15:5  σύ@rpn-p δέ@cc λέγω@vipa2p ὅς@rrnms ἄν@x λέγω@vsaa3s ὁ@ddms πατήρ@ndmsc ἤ@cc ὁ@ddfs μήτηρ@ndfsc δῶρον@nnnsc ὅς@rrans ἐάν@x ἐκ@pg ἐγώ@rpg-s ὠφελέω@vsap2s 
Mat 15:6  οὐ@b μή@x τιμάω@vifa3s ὁ@dams πατήρ@namsc αὐτός@rpgms καί@cc ἀκυρόω@viaa2p ὁ@dams λόγος@namsc ὁ@dgms θεός@ngmsc διά@pa ὁ@dafs παράδοσις@nafsc σύ@rpg-p 
Mat 15:7  ὑποκριτής@nvmpc καλῶς@b προφητεύω@viaa3s περί@pg σύ@rpg-p Ἠσαΐας@nnmsp λέγω@vppanms 
Mat 15:8  ὁ@dnms λαός@nnmsc οὗτος@rdnms ὁ@ddnp χεῖλος@ndnpc ἐγώ@rpa-s τιμάω@vipa3s ὁ@dnfs δέ@cc καρδία@nnfsc αὐτός@rpgmp πόρρω@b ἀπέχω@vipa3s ἀπό@pg ἐγώ@rpg-s 
Mat 15:9  μάτην@b δέ@cc σέβω@vipm3p ἐγώ@rpa-s διδάσκω@vppanmp διδασκαλία@nafpc ἔνταλμα@nanpc ἄνθρωπος@ngmpc 
Mat 15:10  καί@cc προσκαλέομαι@vpamnms ὁ@dams ὄχλος@namsc λέγω@viaa3s αὐτός@rpdmp ἀκούω@vdpa2p καί@cc συνίημι@vdpa2p 
Mat 15:11  οὐ@b ὁ@dnns εἰσέρχομαι@vppmnns εἰς@pa ὁ@dans στόμα@nansc κοινόω@vipa3s ὁ@dams ἄνθρωπος@namsc ἀλλά@cc ὁ@dnns ἐκπορεύομαι@vppmnns ἐκ@pg ὁ@dgns στόμα@ngnsc οὗτος@rdnns κοινόω@vipa3s ὁ@dams ἄνθρωπος@namsc 
Mat 15:12  τότε@b προσέρχομαι@vpaanmp ὁ@dnmp μαθητής@nnmpc λέγω@vipa3p αὐτός@rpdms οἶδα@vixa2s ὅτι@cs ὁ@dnmp Φαρισαῖος@nnmpp ἀκούω@vpaanmp ὁ@dams λόγος@namsc σκανδαλίζω@viap3p 
Mat 15:13  ὁ@dnms δέ@cc ἀποκρίνομαι@vpapnms λέγω@viaa3s πᾶς@ainfsn φυτεία@nnfsc ὅς@rrafs οὐ@b φυτεύω@viaa3s ὁ@dnms πατήρ@nnmsc ἐγώ@rpg-s ὁ@dnms οὐράνιος@annmsn ἐκριζόω@vifp3s 
Mat 15:14  ἀφίημι@vdaa2p αὐτός@rpamp τυφλός@annmpn εἰμί@vipa3p ὁδηγός@nnmpc τυφλός@angmpn τυφλός@annmsn δέ@cc τυφλός@anamsn ἐάν@cs ὁδηγέω@vspa3s ἀμφότεροι@annmpn εἰς@pa βόθυνος@namsc πίπτω@vifm3p 
Mat 15:15  ἀποκρίνομαι@vpapnms δέ@cc ὁ@dnms Πέτρος@nnmsp λέγω@viaa3s αὐτός@rpdms φράζω@vdaa2s ἐγώ@rpd-p ὁ@dafs παραβολή@nafsc οὗτος@rdafs 
Mat 15:16  ὁ@dnms δέ@cc λέγω@viaa3s ἀκμήν@b καί@b σύ@rpn-p ἀσύνετος@annmpn εἰμί@vipa2p 
Mat 15:17  οὐ@b νοέω@vipa2p ὅτι@cs πᾶς@ainnsn ὁ@dnns εἰσπορεύομαι@vppmnns εἰς@pa ὁ@dans στόμα@nansc εἰς@pa ὁ@dafs κοιλία@nafsc χωρέω@vipa3s καί@cc εἰς@pa ἀφεδρών@namsc ἐκβάλλω@vipp3s 
Mat 15:18  ὁ@dnnp δέ@cc ἐκπορεύομαι@vppmnnp ἐκ@pg ὁ@dgns στόμα@ngnsc ἐκ@pg ὁ@dgfs καρδία@ngfsc ἐξέρχομαι@vipm3s καί+ἐκεῖνος@cc&rdnnp κοινόω@vipa3s ὁ@dams ἄνθρωπος@namsc 
Mat 15:19  ἐκ@pg γάρ@cc ὁ@dgfs καρδία@ngfsc ἐξέρχομαι@vipm3p διαλογισμός@nnmpc πονηρός@annmpn φόνος@nnmpc μοιχεία@nnfpc πορνεία@nnfpc κλοπή@nnfpc ψευδομαρτυρία@nnfpc βλασφημία@nnfpc 
Mat 15:20  οὗτος@rdnnp εἰμί@vipa3s ὁ@dnnp κοινόω@vppannp ὁ@dams ἄνθρωπος@namsc ὁ@dnns δέ@cc ἄνιπτος@andfpn χείρ@ndfpc ἐσθίω@vnaa οὐ@b κοινόω@vipa3s ὁ@dams ἄνθρωπος@namsc 
Mat 15:21  καί@cc ἐξέρχομαι@vpaanms ἐκεῖθεν@b ὁ@dnms Ἰησοῦς@nnmsp ἀναχωρέω@viaa3s εἰς@pa ὁ@danp μέρος@nanpc Τύρος@ngfsp καί@cc Σιδών@ngfsp 
Mat 15:22  καί@cc ἰδού@i γυνή@nnfsc Χαναναῖος@annfsn ἀπό@pg ὁ@dgnp ὅριον@ngnpc ἐκεῖνος@rdgnp ἐξέρχομαι@vpaanfs κράζω@viia3s λέγω@vppanfs ἐλεέω@vdaa2s ἐγώ@rpa-s κύριος@nvmsc υἱός@nnmsc Δαυίδ@ngmsp ὁ@dnfs θυγάτηρ@nnfsc ἐγώ@rpg-s κακῶς@b δαιμονίζομαι@vipp3s 
